Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x79c5fc8db9a954cdc36121cbbc2d2607edd574a9,0.0,,0.0,,0.0,,10.0846199898,1.9658010337,0.0
0x3454802ba66bebb46963a63b77c4de0ea1c59f61,0.0,,0.0,,0.0,,0.0,0.0,8500.9010242436
0x3fbbaf77ba1673e10391ed5906c8d8b70ff5a1d4,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4501d92d127356ad0e4e0a37c540ff65a04bb05e,0.0,,0.0,,0.0,,7.127348995699999,0.9098080583,272.5775395516
0x160b6772c9976d21ddfb3e3211989fa099451af7,0.0,0xef94975e5ba0df84c2319f1dd81e04d74c0b430abb5743762f48b51219116afa,0.0,,0.0,"0x7c9e9e5127eebcf30a8ccb5554229bfab8ee64c4c63591e4cef393ba7d80e67a,0x3b86744dcf116dea21f6f41f57bd7d3d73a7f323c5b2fbd5aee1a91b79664e5c",0.0,272.356351061,0.0
0xd78fb850e668199f351d3c1add1bc1623b7373eb,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe1ff3950a568e6aa157b8bed4c948f33506df340,0.0,,0.0,,0.0,,2.6956542576,2.0031831623,0.0
0xe37c4f0075539de3024cc0f119be6fa4ff809f67,0.0,,0.0,,0.0,,0.0,0.0,0.1429154595
0x986b6145f7760136afc4a6a35b343e217d6ef4d6,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xb8f6f3cc7b162d7e5b9196140fb1878cda316ba0,0.0,,0.0,,0.0,,101.9967855229,153.7626141242,82737.715583716
0xb2bf544691b4289973f9d5236ccca31fb6d46190,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4d3e0345343fb23ed9ee281acec9c6d5409fbd4a,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xc68656d3b48dd533773d4eb7b233b52c04c17d1d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x69731c0632d4fa0c6834fde53240faa00e365270,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x1860d6f0db1382c77aa7907268e8b96fd3e043cc,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x5586c4493d4bb1b93e289e2bd1ff6c2c5c23f89a,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4b6d949bae0a38635623125663ed705696b2a874,0.0,,0.0,,0.0,,0.0,0.0,3008.7902421739
0x4cfa861c38ab70be0ce11a9ef8172c575b270882,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xb2ce2b65f1af37bf4da4b688c92436d429b08da9,0.0,"0x2b6d9b4812afec6922ef1a5ed8904acd1c939d042a0116f0cb5bab59d62e913c,0x50359fab71d2394fb33c15593807170eb4838cd58d8ea0919dad6098c56c3e42",0.0,0x82e8f80c447dfd29ae63bf82854427593cbf4c97943803595229b91087e64be1,0.0,,0.0,0.0,1004.24
0x8c818d28c295998a646d8f566193ffcf1c716833,0.0,,0.0,0x87a1057a24b7457b3a700a3aeea5ba653ba0a87acf029721a57fd9f1eabfe057,0.0,,25.1660561151,0.0,1224.3734778217001
0xdaffd214afe9d8a3725361ed19a03fb3114bc11b,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x575b67fa7deb83da6566dc05e3d5aacef1a7e6e9,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x6a3c59489f75df432408267b83290cea0e215298,0.0,,0.0,,0.0,,0.0,0.0,0.0
